wellids,mni_x,mni_y,mni_z
1067,-38,5,40
1068,-20,-95,-7
1069,-7,-86,30
1070,-12,-86,1
1071,-9,-86,14
1072,-12,6,-29
1073,-16,7,-36
1074,-12,6,-31
1075,-16,7,-38
1076,-16,7,-42
1077,-20,-3,-37
1078,-10,-3,-35
1079,-25,-3,-37
1080,-27,-42,-15
1081,-29,-3,-43
1082,-34,-3,-40
1083,-56,-54,-30
1084,-56,-42,-29
1085,-46,-54,-22
1086,-35,-64,-17
1087,-26,-55,-19
1088,-47,-42,-29
1089,-46,-26,-27
1090,-40,-16,-31
1091,-41,-64,-22
1092,-49,-54,-23
1093,-34,-26,-31
1094,-27,7,-42
1095,-26,7,-42
1096,-29,-64,52
1097,-61,-64,14
1098,-43,-55,50
1099,-42,-76,22
1100,-59,-64,34
1101,-52,-54,9
1102,-42,-76,16
1103,-36,-77,29
1104,-62,-64,12
1105,-62,-55,38
1106,-45,-16,-31
1107,-38,-3,-36
1108,-60,-42,-28
1109,-51,-26,-29
1110,-61,-26,-21
1111,-59,-16,-32
1112,-70,-42,-11
1113,-62,-26,-35
1114,-63,-26,-17
1115,-52,-16,-36
1116,-50,-3,-36
1117,-4,-42,3
1118,-5,-55,24
1119,-3,-42,28
1120,-39,-95,-4
1121,-17,-95,-1
1122,-45,-86,5
1123,-35,-86,-20
1124,-47,-86,-4
1125,-44,-75,-22
1126,-54,-54,-4
1127,-47,-76,12
1128,-59,-64,-11
1129,-54,-75,14
1130,-15,27,-26
1131,-30,28,1
1132,-33,43,-9
1133,-16,55,-22
1134,-27,42,-10
1135,-19,42,-23
1136,-24,55,-14
1137,-35,28,-21
1138,-20,-42,-12
1139,-19,-42,-12
1140,-20,-64,-13
1141,-14,-76,-11
1142,-23,-55,-3
1143,-25,-55,-2
1144,-8,55,-5
1145,-5,42,-13
1146,-7,55,-19
1147,-2,27,-26
1148,-5,27,-19
1149,-8,42,-24
1150,-65,-42,5
1151,-64,-42,-7
